Info 0    [19:49:48.575] Starting TS Server
Info 92   [19:50:51.344] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15.554376999847591
Info 93   [19:50:51.348] getCompletionData: Get current token: 0.007957999594509602
Info 94   [19:50:51.348] getCompletionData: Is inside comment: 0.014073999598622322
Info 95   [19:50:51.348] getCompletionData: Get previous token: 0.016216999851167202
Info 96   [19:50:51.348] getCompletionsAtPosition: isCompletionListBlocker: 0.02251799963414669
Info 97   [19:50:51.351] getExportInfoMap: cache hit
Info 98   [19:50:51.369] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 261 from cache
Info 99   [19:50:51.369] collectAutoImports: response is complete
Info 100  [19:50:51.369] collectAutoImports: 18.11742200050503
Info 101  [19:50:51.369] getCompletionData: Semantic work: 20.88800699915737
Info 102  [19:50:51.383] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.581189000047743
Info 103  [19:50:51.387] getCompletionData: Get current token: 0.008634999394416809
Info 104  [19:50:51.387] getCompletionData: Is inside comment: 0.013848000206053257
Info 105  [19:50:51.387] getCompletionData: Get previous token: 0.01582799945026636
Info 106  [19:50:51.387] getCompletionsAtPosition: isCompletionListBlocker: 0.04202000051736832
Info 107  [19:50:51.390] getExportInfoMap: cache hit
Info 108  [19:50:51.415] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 261 from cache
Info 109  [19:50:51.415] collectAutoImports: response is complete
Info 110  [19:50:51.415] collectAutoImports: 25.172679000534117
Info 111  [19:50:51.415] getCompletionData: Semantic work: 27.917256000451744
Info 112  [19:50:51.430] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.681571000255644
Info 113  [19:50:51.434] getCompletionData: Get current token: 0.012186999432742596
Info 114  [19:50:51.435] getCompletionData: Is inside comment: 0.019461000338196754
Info 115  [19:50:51.435] getCompletionData: Get previous token: 0.01696700043976307
Info 116  [19:50:51.435] getCompletionsAtPosition: isCompletionListBlocker: 0.019652999937534332
Info 117  [19:50:51.437] getExportInfoMap: cache hit
Info 118  [19:50:51.460] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 261 from cache
Info 119  [19:50:51.460] collectAutoImports: response is complete
Info 120  [19:50:51.460] collectAutoImports: 22.755253000184894
Info 121  [19:50:51.460] getCompletionData: Semantic work: 25.711918999440968
Info 122  [19:50:51.481] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 20.29385199956596
Info 123  [19:50:51.495] getCompletionData: Get current token: 0.008964999578893185
Info 124  [19:50:51.495] getCompletionData: Is inside comment: 0.01767200045287609
Info 125  [19:50:51.495] getCompletionData: Get previous token: 0.01607999950647354
Info 126  [19:50:51.495] getCompletionsAtPosition: isCompletionListBlocker: 0.01998600084334612
Info 127  [19:50:51.497] getExportInfoMap: cache hit
Info 128  [19:50:51.514] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 261 from cache
Info 129  [19:50:51.515] collectAutoImports: response is complete
Info 130  [19:50:51.515] collectAutoImports: 16.988052999600768
Info 131  [19:50:51.515] getCompletionData: Semantic work: 19.43746600020677
Info 132  [19:50:51.524] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.073061999864876
Info 133  [19:50:51.527] getCompletionData: Get current token: 0.007671000435948372
Info 134  [19:50:51.527] getCompletionData: Is inside comment: 0.012477000243961811
Info 135  [19:50:51.527] getCompletionData: Get previous token: 0.016650999896228313
Info 136  [19:50:51.527] getCompletionsAtPosition: isCompletionListBlocker: 0.01322100032120943
Info 137  [19:50:51.528] getExportInfoMap: cache hit
Info 138  [19:50:51.544] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 261 from cache
Info 139  [19:50:51.545] collectAutoImports: response is complete
Info 140  [19:50:51.545] collectAutoImports: 15.979508999735117
Info 141  [19:50:51.545] getCompletionData: Semantic work: 17.682074000127614
Info 142  [19:50:51.554] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.942038000561297
Info 143  [19:50:51.556] getCompletionData: Get current token: 0.006965000182390213
Info 144  [19:50:51.556] getCompletionData: Is inside comment: 0.012461000122129917
Info 145  [19:50:51.556] getCompletionData: Get previous token: 0.015937999822199345
Info 146  [19:50:51.557] getCompletionsAtPosition: isCompletionListBlocker: 0.011387999169528484
Info 147  [19:50:51.558] getExportInfoMap: cache hit
Info 148  [19:50:51.574] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 261 from cache
Info 149  [19:50:51.574] collectAutoImports: response is complete
Info 150  [19:50:51.574] collectAutoImports: 15.850553999654949
Info 151  [19:50:51.574] getCompletionData: Semantic work: 17.42392100021243
Info 152  [19:50:51.584] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.350136999972165
Info 153  [19:50:51.775] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 154  [19:50:51.789] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 13.70973200071603ms
Info 155  [19:50:51.789] Different program with same set of files
Info 156  [19:50:51.789] getCompletionData: Get current token: 0.010777999646961689
Info 157  [19:50:51.789] getCompletionData: Is inside comment: 0.013834000565111637
Info 158  [19:50:51.789] getCompletionData: Get previous token: 0.01943600084632635
Info 159  [19:50:51.789] getCompletionsAtPosition: isCompletionListBlocker: 0.01620600000023842
Info 160  [19:50:51.794] getExportInfoMap: cache hit
Info 161  [19:50:51.812] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 82 from cache
Info 162  [19:50:51.812] collectAutoImports: response is complete
Info 163  [19:50:51.812] collectAutoImports: 17.864098999649286
Info 164  [19:50:51.812] getCompletionData: Semantic work: 22.95302900020033
Info 165  [19:50:51.829] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 16.353354999795556
Info 166  [19:50:51.834] getCompletionData: Get current token: 0.015975999645888805
Info 167  [19:50:51.834] getCompletionData: Is inside comment: 0.01728800032287836
Info 168  [19:50:51.834] getCompletionData: Get previous token: 0.018144999630749226
Info 169  [19:50:51.834] getCompletionsAtPosition: isCompletionListBlocker: 0.02248500008136034
Info 170  [19:50:51.839] getExportInfoMap: cache hit
Info 171  [19:50:51.853] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 82 from cache
Info 172  [19:50:51.853] collectAutoImports: response is complete
Info 173  [19:50:51.853] collectAutoImports: 13.793002000078559
Info 174  [19:50:51.854] getCompletionData: Semantic work: 19.60791500005871
Info 175  [19:50:51.868] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.918503999710083
Info 176  [19:50:51.877] getCompletionData: Get current token: 0.011129999533295631
Info 177  [19:50:51.877] getCompletionData: Is inside comment: 0.027554000727832317
Info 178  [19:50:51.878] getCompletionData: Get previous token: 0.018605999648571014
Info 179  [19:50:51.878] getCompletionsAtPosition: isCompletionListBlocker: 0.03037900011986494
Info 180  [19:50:51.885] getExportInfoMap: cache hit
Info 181  [19:50:51.901] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 82 from cache
Info 182  [19:50:51.901] collectAutoImports: response is complete
Info 183  [19:50:51.901] collectAutoImports: 15.353908999823034
Info 184  [19:50:51.901] getCompletionData: Semantic work: 23.342018000781536
Info 185  [19:50:51.912] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.688876999542117
Info 186  [19:50:51.915] getCompletionData: Get current token: 0.009740999899804592
Info 187  [19:50:51.916] getCompletionData: Is inside comment: 0.015270000323653221
Info 188  [19:50:51.916] getCompletionData: Get previous token: 0.01656400039792061
Info 189  [19:50:51.916] getCompletionsAtPosition: isCompletionListBlocker: 0.014078999869525433
Info 190  [19:50:51.920] getExportInfoMap: cache hit
Info 191  [19:50:51.934] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 82 from cache
Info 192  [19:50:51.934] collectAutoImports: response is complete
Info 193  [19:50:51.934] collectAutoImports: 13.659674999304116
Info 194  [19:50:51.934] getCompletionData: Semantic work: 18.414532999508083
Info 195  [19:50:51.943] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.95331700053066
Info 196  [19:50:51.946] getCompletionData: Get current token: 0.0081619992852211
Info 197  [19:50:51.946] getCompletionData: Is inside comment: 0.013059999793767929
Info 198  [19:50:51.946] getCompletionData: Get previous token: 0.025410999543964863
Info 199  [19:50:51.946] getCompletionsAtPosition: isCompletionListBlocker: 0.016356000676751137
Info 200  [19:50:51.950] getExportInfoMap: cache hit
Info 201  [19:50:51.964] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 82 from cache
Info 202  [19:50:51.964] collectAutoImports: response is complete
Info 203  [19:50:51.964] collectAutoImports: 14.37065300066024
Info 204  [19:50:51.964] getCompletionData: Semantic work: 18.711721000261605
Info 205  [19:50:51.974] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.199854999780655
Info 206  [19:50:51.977] getCompletionData: Get current token: 0.008806999772787094
Info 207  [19:50:51.977] getCompletionData: Is inside comment: 0.01436999998986721
Info 208  [19:50:51.977] getCompletionData: Get previous token: 0.017645000480115414
Info 209  [19:50:51.977] getCompletionsAtPosition: isCompletionListBlocker: 0.013511999510228634
Info 210  [19:50:51.980] getExportInfoMap: cache hit
Info 211  [19:50:51.992] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 82 from cache
Info 212  [19:50:51.992] collectAutoImports: response is complete
Info 213  [19:50:51.992] collectAutoImports: 12.502361999824643
Info 214  [19:50:51.992] getCompletionData: Semantic work: 15.559324000030756
Info 215  [19:50:52.000] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.202026999555528
Info 216  [19:50:52.002] getCompletionData: Get current token: 0.007011000066995621
Info 217  [19:50:52.002] getCompletionData: Is inside comment: 0.016349999234080315
Info 218  [19:50:52.002] getCompletionData: Get previous token: 0.01690099947154522
Info 219  [19:50:52.003] getCompletionsAtPosition: isCompletionListBlocker: 0.023720999248325825
Info 220  [19:50:52.008] getExportInfoMap: cache hit
Info 221  [19:50:52.020] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 82 from cache
Info 222  [19:50:52.020] collectAutoImports: response is complete
Info 223  [19:50:52.020] collectAutoImports: 11.417785999365151
Info 224  [19:50:52.020] getCompletionData: Semantic work: 17.47920700069517
Info 225  [19:50:52.027] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.231285000219941
Info 226  [19:50:52.030] getCompletionData: Get current token: 0.011678000912070274
Info 227  [19:50:52.030] getCompletionData: Is inside comment: 0.012725000269711018
Info 228  [19:50:52.030] getCompletionData: Get previous token: 0.015798999927937984
Info 229  [19:50:52.030] getCompletionsAtPosition: isCompletionListBlocker: 0.011987000703811646
Info 230  [19:50:52.032] getExportInfoMap: cache hit
Info 231  [19:50:52.044] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 82 from cache
Info 232  [19:50:52.044] collectAutoImports: response is complete
Info 233  [19:50:52.044] collectAutoImports: 11.319917999207973
Info 234  [19:50:52.044] getCompletionData: Semantic work: 14.071286000311375
Info 235  [19:50:52.051] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.944876999594271
Info 236  [19:50:52.053] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 237  [19:50:52.059] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 5.408912000246346ms
Info 238  [19:50:52.059] Different program with same set of files
Info 239  [19:50:52.059] getCompletionData: Get current token: 0.007388000376522541
Info 240  [19:50:52.059] getCompletionData: Is inside comment: 0.012257999740540981
Info 241  [19:50:52.059] getCompletionData: Get previous token: 0.015990000218153
Info 242  [19:50:52.059] getCompletionsAtPosition: isCompletionListBlocker: 0.010718000121414661
Info 243  [19:50:52.062] getExportInfoMap: cache hit
Info 244  [19:50:52.073] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 58 from cache
Info 245  [19:50:52.073] collectAutoImports: response is complete
Info 246  [19:50:52.073] collectAutoImports: 10.957899999804795
Info 247  [19:50:52.073] getCompletionData: Semantic work: 14.219324000179768
Info 248  [19:50:52.084] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.368129999376833
Info 249  [19:50:52.086] getCompletionData: Get current token: 0.007379000075161457
Info 250  [19:50:52.086] getCompletionData: Is inside comment: 0.012265999801456928
Info 251  [19:50:52.086] getCompletionData: Get previous token: 0.016042999923229218
Info 252  [19:50:52.086] getCompletionsAtPosition: isCompletionListBlocker: 0.010259999893605709
Info 253  [19:50:52.089] getExportInfoMap: cache hit
Info 254  [19:50:52.101] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 58 from cache
Info 255  [19:50:52.101] collectAutoImports: response is complete
Info 256  [19:50:52.101] collectAutoImports: 11.860687999986112
Info 257  [19:50:52.101] getCompletionData: Semantic work: 14.956313000060618
Info 258  [19:50:52.111] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.53019000031054
Info 259  [19:50:52.113] getCompletionData: Get current token: 0.009627999737858772
Info 260  [19:50:52.113] getCompletionData: Is inside comment: 0.021544000133872032
Info 261  [19:50:52.113] getCompletionData: Get previous token: 0.01642599981278181
Info 262  [19:50:52.113] getCompletionsAtPosition: isCompletionListBlocker: 0.027974999509751797
Info 263  [19:50:52.117] getExportInfoMap: cache hit
Info 264  [19:50:52.132] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 58 from cache
Info 265  [19:50:52.132] collectAutoImports: response is complete
Info 266  [19:50:52.132] collectAutoImports: 14.319176000542939
Info 267  [19:50:52.132] getCompletionData: Semantic work: 18.305096000432968
Info 268  [19:50:52.140] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.500745000317693
Info 269  [19:50:52.143] getCompletionData: Get current token: 0.007464999333024025
Info 270  [19:50:52.143] getCompletionData: Is inside comment: 0.01261999923735857
Info 271  [19:50:52.143] getCompletionData: Get previous token: 0.015842000022530556
Info 272  [19:50:52.143] getCompletionsAtPosition: isCompletionListBlocker: 0.014014000073075294
Info 273  [19:50:52.145] getExportInfoMap: cache hit
Info 274  [19:50:52.156] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 58 from cache
Info 275  [19:50:52.156] collectAutoImports: response is complete
Info 276  [19:50:52.156] collectAutoImports: 10.71255400031805
Info 277  [19:50:52.156] getCompletionData: Semantic work: 13.516466000117362
Info 278  [19:50:52.163] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.00942900031805
Info 279  [19:50:52.165] getCompletionData: Get current token: 0.007268000394105911
Info 280  [19:50:52.165] getCompletionData: Is inside comment: 0.01243200059980154
Info 281  [19:50:52.165] getCompletionData: Get previous token: 0.015589000657200813
Info 282  [19:50:52.166] getCompletionsAtPosition: isCompletionListBlocker: 0.1009740000590682
Info 283  [19:50:52.168] getExportInfoMap: cache hit
Info 284  [19:50:52.179] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 58 from cache
Info 285  [19:50:52.179] collectAutoImports: response is complete
Info 286  [19:50:52.179] collectAutoImports: 10.671006999909878
Info 287  [19:50:52.179] getCompletionData: Semantic work: 13.323609000071883
Info 288  [19:50:52.186] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.843923999927938
Info 289  [19:50:52.188] getCompletionData: Get current token: 0.0074800001457333565
Info 290  [19:50:52.188] getCompletionData: Is inside comment: 0.012532000429928303
Info 291  [19:50:52.188] getCompletionData: Get previous token: 0.015591000206768513
Info 292  [19:50:52.188] getCompletionsAtPosition: isCompletionListBlocker: 0.14123700000345707
Info 293  [19:50:52.191] getExportInfoMap: cache hit
Info 294  [19:50:52.203] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 58 from cache
Info 295  [19:50:52.203] collectAutoImports: response is complete
Info 296  [19:50:52.203] collectAutoImports: 12.04446899984032
Info 297  [19:50:52.203] getCompletionData: Semantic work: 14.60698299948126
Info 298  [19:50:52.210] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.039668999612331
Info 299  [19:50:52.212] getCompletionData: Get current token: 0.007214000448584557
Info 300  [19:50:52.212] getCompletionData: Is inside comment: 0.012376999482512474
Info 301  [19:50:52.212] getCompletionData: Get previous token: 0.01572900079190731
Info 302  [19:50:52.212] getCompletionsAtPosition: isCompletionListBlocker: 0.01699499972164631
Info 303  [19:50:52.215] getExportInfoMap: cache hit
Info 304  [19:50:52.226] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 58 from cache
Info 305  [19:50:52.226] collectAutoImports: response is complete
Info 306  [19:50:52.226] collectAutoImports: 10.648668000474572
Info 307  [19:50:52.226] getCompletionData: Semantic work: 13.280205000191927
Info 308  [19:50:52.233] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.983446000143886
Info 309  [19:50:52.235] getCompletionData: Get current token: 0.007043999619781971
Info 310  [19:50:52.235] getCompletionData: Is inside comment: 0.012368000112473965
Info 311  [19:50:52.235] getCompletionData: Get previous token: 0.0157240005210042
Info 312  [19:50:52.235] getCompletionsAtPosition: isCompletionListBlocker: 0.009171999990940094
Info 313  [19:50:52.237] getExportInfoMap: cache hit
Info 314  [19:50:52.248] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 58 from cache
Info 315  [19:50:52.248] collectAutoImports: response is complete
Info 316  [19:50:52.248] collectAutoImports: 10.78813000023365
Info 317  [19:50:52.248] getCompletionData: Semantic work: 13.345635000616312
Info 318  [19:50:52.256] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.148071000352502
Info 319  [19:50:52.258] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 320  [19:50:52.263] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 4.914268000051379ms
Info 321  [19:50:52.263] Different program with same set of files
Info 322  [19:50:52.263] getCompletionData: Get current token: 0.007159999571740627
Info 323  [19:50:52.263] getCompletionData: Is inside comment: 0.01195599976927042
Info 324  [19:50:52.263] getCompletionData: Get previous token: 0.015843000262975693
Info 325  [19:50:52.263] getCompletionsAtPosition: isCompletionListBlocker: 0.010338000021874905
Info 326  [19:50:52.266] getExportInfoMap: cache hit
Info 327  [19:50:52.276] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 39 from cache
Info 328  [19:50:52.276] collectAutoImports: response is complete
Info 329  [19:50:52.277] collectAutoImports: 10.38522700034082
Info 330  [19:50:52.277] getCompletionData: Semantic work: 13.534975000657141
Info 331  [19:50:52.288] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11.375206000171602
Info 332  [19:50:52.290] getCompletionData: Get current token: 0.007565000094473362
Info 333  [19:50:52.290] getCompletionData: Is inside comment: 0.013604000210762024
Info 334  [19:50:52.291] getCompletionData: Get previous token: 0.016087999567389488
Info 335  [19:50:52.291] getCompletionsAtPosition: isCompletionListBlocker: 0.011123999953269958
Info 336  [19:50:52.294] getExportInfoMap: cache hit
Info 337  [19:50:52.304] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 39 from cache
Info 338  [19:50:52.304] collectAutoImports: response is complete
Info 339  [19:50:52.304] collectAutoImports: 10.413471000269055
Info 340  [19:50:52.304] getCompletionData: Semantic work: 13.58784699998796
Info 341  [19:50:52.313] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.954320000484586
Info 342  [19:50:52.315] getCompletionData: Get current token: 0.007798999547958374
Info 343  [19:50:52.316] getCompletionData: Is inside comment: 0.012029999867081642
Info 344  [19:50:52.316] getCompletionData: Get previous token: 0.01537800021469593
Info 345  [19:50:52.316] getCompletionsAtPosition: isCompletionListBlocker: 0.012761000543832779
Info 346  [19:50:52.319] getExportInfoMap: cache hit
Info 347  [19:50:52.330] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 39 from cache
Info 348  [19:50:52.330] collectAutoImports: response is complete
Info 349  [19:50:52.330] collectAutoImports: 10.846450000070035
Info 350  [19:50:52.330] getCompletionData: Semantic work: 14.38933499995619
